region,provincia,comune,PRO_COM2011,data_elezioni,elettori,votanti,voti_non_validi,schede_bianche,totalevotilista,totaleseggi,DCtotalevoti,DCtotaleseggi,PSItotalevoti,PSItotaleseggi,PCItotalevoti,PCItotaleseggi,OtherParties_voti,OtherParties_seggi
Puglia,Lecce,Taviano,75085,06/11/1960,5324,4529,,,4289,20,1999,4,0,0,0,0,2290,16
Puglia,Lecce,Tiggiano,75086,06/11/1960,1136,964,,,932,15,932,15,0,0,0,0,0,0
Puglia,Brindisi,Torchiarolo,74018,06/11/1960,2265,2154,,,2070,20,884,4,0,0,0,0,1186,16
Puglia,Bari,Toritto,72044,06/11/1960,4636,4284,,,4146,20,2173,16,0,0,0,0,1973,4
Puglia,Brindisi,Torre Santa Susanna,74019,06/11/1960,4670,4360,,,4097,20,1645,4,0,0,0,0,2452,16
Puglia,Taranto,Torricella,73028,06/11/1960,1927,1855,,,1752,20,630,4,0,0,0,0,1122,16
Puglia,Barletta-Andria-Trani,Trani,110009,06/11/1960,21418,19559,,,18921,,6595,14,0,0,0,0,12326,66
Puglia,Lecce,Tuglie,75089,06/11/1960,3819,3157,,,2999,20,951,4,0,0,0,0,2048,16
Puglia,Lecce,Ugento,75090,06/11/1960,5032,4233,,,4034,20,2922,16,0,0,0,0,1112,4
Puglia,Lecce,Uggiano La Chiesa,75091,06/11/1960,2581,2220,,,2064,20,1047,16,0,0,0,0,1017,4
Puglia,Lecce,Veglie,75092,06/11/1960,5880,5518,,,5268,20,0,0,0,0,0,0,5268,20
Puglia,Foggia,Vico Del Gargano,71059,06/11/1960,5806,4845,,,4409,20,1145,4,0,0,0,0,3264,16
Puglia,Brindisi,Villa Castelli,74020,06/11/1960,3534,3313,,,3179,20,1848,16,0,0,0,0,1331,4
Puglia,Foggia,Volturara Appula,71061,06/11/1960,1260,1022,,,956,15,521,12,0,0,0,0,435,3
Puglia,Foggia,Volturino,71062,06/11/1960,2416,2110,,,2015,20,1046,16,0,0,0,0,969,4
Puglia,Lecce,Zollino,75094,06/11/1960,1344,1117,,,1095,15,682,12,0,0,0,0,413,3
Puglia,Brindisi,Torchiarolo,74018,17/11/1968,2536,2308,88,,2155,20,0,0,0,0,0,0,2155,20
Puglia,Foggia,Celenza Valfortore,71018,17/11/1968,2063,1826,25,,1759,20,765,16,0,0,240,0,754,4
Puglia,Lecce,Corsano,75024,17/11/1968,2601,2114,9,,2088,20,1004,4,0,0,18,0,1066,16
Puglia,Bari,Casamassima,72015,17/11/1968,6958,6197,30,,6060,30,2883,15,0,0,2104,11,1073,4
Puglia,Bari,Sannicandro di Bari,72040,17/11/1968,5018,3929,20,,3824,20,2514,14,0,0,355,2,955,4
Puglia,Brindisi,San Michele Salentino,74014,17/11/1968,3712,3117,20,,3039,20,1468,10,0,0,1131,8,440,2
Puglia,Brindisi,Villa Castelli,74020,17/11/1968,3828,3405,20,,3285,20,1520,10,0,0,481,3,1284,7
Puglia,Foggia,Cagnano Varano,71008,17/11/1968,5042,3808,20,,3720,20,1771,10,0,0,1511,9,438,1
Puglia,Foggia,Ischitella,71025,17/11/1968,3080,2761,20,,2736,20,1205,9,0,0,1118,9,413,2
Puglia,Barletta-Andria-Trani,Margherita di Savoia,110005,17/11/1968,7719,6844,30,,6711,30,2988,14,0,0,356,1,3367,15
Puglia,Foggia,San Marco in Lamis,71047,17/11/1968,11150,8533,30,,8346,30,4042,16,0,0,2636,10,1668,4
Puglia,Foggia,Sannicandro Garganico,71049,17/11/1968,12058,8752,30,,8390,30,2918,11,0,0,3935,15,1537,4
Puglia,Foggia,San Paolo di Civitate,71050,17/11/1968,4152,3334,20,,3290,20,1481,10,0,0,1180,7,629,3
Puglia,Lecce,Alliste,75004,17/11/1968,3968,3195,20,,3114,20,1380,9,0,0,723,5,1011,6
Puglia,Lecce,Squinzano,75079,17/11/1968,9194,8257,30,,8129,30,4060,16,0,0,1583,6,2486,8
Puglia,Taranto,Ginosa,73007,17/11/1968,11171,9669,30,,9400,30,3689,12,0,0,2297,8,3414,10
Puglia,Taranto,Grottaglie,73008,17/11/1968,14272,12854,30,,12525,30,4693,12,0,0,5020,12,2812,6
Puglia,Foggia,MONTE SANT'ANGELO,71033,11/11/1962,12608,9075,238,98,8863,30,3842,13,1748,6,2776,10,497,1
Puglia,Foggia,SAN GIOVANNI ROTONDO,71046,11/11/1962,10853,8736,294,80,8509,30,0,0,763,2,2965,11,4781,17
Puglia,Foggia,SAN MARCO IN LAMIS,71047,11/11/1962,12625,8838,181,50,8697,30,3555,13,780,3,2807,10,1555,4
Puglia,Barletta-Andria-Trani,TRINITAPOLI,110010,11/11/1962,7935,7150,94,40,7063,30,3026,14,746,3,2278,10,1013,3
Puglia,Lecce,CASABANO,75016,10/06/1962,9351,7496,292,52,7298,30,4572,20,132,0,445,2,2149,8
Puglia,Lecce,GALATINA,75029,10/06/1962,15690,13223,406,76,12944,30,3668,9,218,0,1844,5,7214,16
Puglia,Lecce,MAGLIE,75039,17/11/1963,8470,7223,188,52,7077,30,2517,11,1539,6,1100,5,1921,8
Puglia,Lecce,TREPUZZI,75087,10/06/1962,6690,6053,112,38,5959,30,1964,11,782,4,1594,8,1619,7
Puglia,Taranto,CASTELLANETA,73003,17/11/1963,8082,7318,178,93,7136,30,3630,16,360,1,2505,11,641,2
Puglia,Taranto,MOTTOLA,73019,10/06/1962,8394,7374,168,69,7231,30,3194,14,1753,7,1638,7,646,2
Puglia,Taranto,SAVA,73026,10/06/1962,9426,7774,118,39,7675,30,2157,9,323,1,1507,6,3688,14
Puglia,Bari,ADELFIA,72002,10/06/1962,6413,5470,50,15,5436,30,3474,20,993,5,600,3,369,2
Puglia,BARI,BARI,72006,10/06/1962,178,156,5544,1034,151531,60,59722,25,25300,10,25499,10,41010,15
Puglia,Bari,BITONTO,72011,10/06/1962,20780,19299,336,122,19004,40,8307,18,3556,8,5440,12,1701,2
Puglia,Barletta-Andria-Trani,CANOSA DI PUGLIA,110004,10/06/1962,19369,17158,311,78,16924,40,7715,20,1124,2,6266,16,1819,2
Puglia,Bari,CORATO,72020,11/11/1962,24705,21233,626,107,20811,40,6324,13,1812,3,6874,14,5801,10
Puglia,Bari,GIOIA DEL COLLE,72021,10/11/1963,17,14671,528,123,14284,30,6713,15,1920,4,2884,6,2767,5
Puglia,Barletta-Andria-Trani,MINERVINO MURGE,110006,11/11/1962,10515,9090,275,63,8888,30,3591,13,946,3,3203,11,1148,3
Puglia,Bari,MOLFETTA,72029,10/06/1962,36436,29096,608,107,28711,40,12846,19,4170,6,6585,9,5110,6
Puglia,Bari,TERLIZZI,72043,10/11/1963,12004,39,261,94,10613,30,4059,12,650,1,2835,8,3069,9
Puglia,Bari,TURI,72047,10/11/1963,6470,5762,110,24,5676,30,2606,14,378,2,355,2,2337,12
Puglia,Brindisi,CEGLIE MESSAPICO,74003,02/12/1962,13995,11411,314,71,11038,30,6021,18,784,2,2651,7,1582,3
Puglia,Brindisi,CISTERNINO,74005,17/11/1963,7545,6218,185,37,6088,30,1864,9,780,4,397,2,3041,15
Puglia,Brindisi,OSTUNI,74012,02/12/1962,19949,17551,494,89,17215,40,8245,21,2612,6,1077,2,5281,11
Puglia,Foggia,LUCERA,71028,17/11/1963,15557,13851,319,118,13569,30,4405,10,516,1,6276,15,2373,4
Puglia,Foggia,MANFREDONIA,71029,10/06/1962,21242,17319,460,173,16917,40,6842,18,1360,3,6362,16,2353,3
